title,show_id,type,director,cast,country,release_year,rating,duration,listed_in,description,platform
Zoo Babies,s18,TV Show,Sin Dato,Narrator - Gillian Barlett,,2008,ALL,1,"Kids, Special Interest","A heart warming and inspiring series that welcomes the arrival of new members of the animal kingdom in Zoo's around the world, as well as showcasing endangered species being born in captivity, 'Zoo Babies' is perfect family viewing packaged with fun, colourful graphics designed to capture the attention of little ones.",amazon
Zoë Coombs Marr: Bossy Bottom,s19,TV Show,Sin Dato,Zoë Coombs Marr,,2020,18+,1,"Comedy, Talk Show and Variety","Zoë Coombs Marr has been on hiatus. Sort of. For six years, she won stacks of awards and acclaim as a hack comic with a neckbeard called Dave. Whatever. She’s scraped off the neckbeard and is BAAAACK… as herself. There is no comedian quite like Zoë. Bossy Bottom is a joyously silly return to very serious stand up from the MICF Most Outstanding Show winner and Edinburgh Best Show nominee.",amazon
Zoboomafoo,s21,TV Show,Sin Dato,,,2001,TV-Y,1,Kids,Chris and Martin Kratt bring their enthusiasm for animals to the pre-school set.,amazon
Zo Zo Zombie: Mini-Series,s22,TV Show,Sin Dato,"Alex Cazares, Ben Diskin, Cristina Vee, Erika Ishii",,2020,TV-Y7,1,"Action, Anime, Comedy","Zo Zo Zombie is our undead hero who, with his best [human] friend Isamu, is just trying to do some good in this world but somehow always ends up in pieces. Literally.",amazon
ZeroZeroZero,s24,TV Show,Sin Dato,"ANDREA RISEBOROUGH, HAROLD TORRES, CLAUDIA PINEDA, TCHEKY KARYO, GIUSEPPE DE DOMENICO, GABRIEL BYRNE, DANE DEHAAN, ADRIANO CHIARAMIDA",Italy,2020,18+,1,TV Shows,"ZeroZeroZero series follows the journey of a cocaine shipment, from the moment a powerful cartel of Italian criminals decides to buy it until the cargo is delivered and paid for, passing through its packaging in Mexico and shipment across the Atlantic Ocean.",amazon
Zahara: The Return,s27,TV Show,Sin Dato,"Natasha Heschélle, Curtis Morgan, Hannah Scott, Dennis Nimoh, Christine Nguyen",,2020,16+,1,TV Shows,"The story explores the history of slavery and racism, and the tensions between a white supernatural world and a supernatural world of colour as an ancient black Druid rekindles her forbidden love with the son of her former master.",amazon
Z: The Beginning of Everything,s28,TV Show,Sin Dato,"Christina Ricci  , David Hoflin",United States,2017,18+,1,"Comedy, Drama","""Z: The Beginning of Everything"" tells the story of Zelda Sayre Fitzgerald, the brilliant, beautiful Southern Belle who became the original flapper and icon of the wild, flamboyant Jazz Age.",amazon
Yu-Gi-Oh! Zexal,s29,TV Show,Sin Dato,"Eli Jay, Marc Thompson, Sean Schemmel, Eileen Stevens",,2015,TV-Y7,3,"Animation, Anime, Fantasy","It's time to feel the flow as Yu-Gi-Oh! Zexal blasts off into awesome new adventures! Seven legendary number cards are hidden throughout the cosmos, each holding a key to unlocking the ultimate power of the universe. Yuma and Astral must find them before the evil Barians do for whoever wields this force can use it to save the galaxy or destroy it!",amazon
Yu-Gi-Oh! ARC-V,s30,TV Show,Sin Dato,"Michael Liscio Jr., Emily Bauer",,2018,TV-Y7,3,"Action, Adventure, Animation",Get set to swing into action as Yu-Gi-Oh! ARC-V takes its final bow!,amazon
Yu-Gi-Oh! 5D's,s31,TV Show,Sin Dato,"Gregory Abbey, Bella Hudson, Ed Paul",Japan,2011,TV-Y7,2,"Anime, Kids","With the defeat of Director Goodwin and the Dark Signers, New Domino City's barriers have been torn down. City and Satellite are now one - united in the hope of building a brighter tomorrow. Yet in this time of renaissance and rebuilding, a new enemy emerges, and Yusei and his friends must rev it up in order to save the world – one duel at a time.",amazon
Your Bleeped Up Brain,s32,TV Show,Sin Dato,"Dobrokhotova Ekaterina, Mike New",,2013,TV-PG,1,TV Shows,"See what an alien abduction reveals about your memory, learn how a seance in the White House holds the key to superstition, uncover a conspiracy theory about the moon landing.",amazon
Young Lions,s36,TV Show,Sin Dato,"Alex Dimitriades, Alexandra Davies, Tom Long, Anna Lise Phillips, Katherine Slattery, Penny Cook, Amie Mckenna, Socratis Otto, Anna Torv, John Waters, Maya Stange, Jackson Purtan-Smith, George Anakotta",,2002,16+,1,"Drama, Suspense",Australian police show about two male and two female detective senior constables who solve crimes and deal with personal issues.,amazon
"Yoga Therapy For Back Pain, Neck Pain & Stress Relief - Lindsey Samper",s43,TV Show,Sin Dato,Lindsey Samper,,2018,ALL,1,Fitness,Lindsey teaches you how to relieve pain & tension throughout the body. This series includes Yoga Flow Classes and videos that simply teach you the stretches. These gentle classes are perfect even if you've never done yoga.,amazon
Yearly Departed,s54,TV Show,Sin Dato,"Phoebe Robinson, Rachel Brosnahan, Tiffany Haddish, Patti Harrison, Natasha Leggero, Natasha Rothwell, Sarah Silverman, Ziwe, Christina Aguilera, Sterling K Brown",,2020,16+,1,"Arts, Entertainment, and Culture, Comedy, Talk Show and Variety","Goodbye and good riddance, 2020. In this hilarious, absurd, life-affirming comedy special, seven outspoken female comedians lay to rest the year that never seemed to end. Hosted by Phoebe Robinson (2 Dope Queens), a lineup of some of the world's funniest women bid farewell to 2020's biggest conceptual casualties, from TV Cops to Casual Sex, giving the year a cathartic sendoff.",amazon
Yancy Derringer,s57,TV Show,Sin Dato,"Jock Mahoney, X Brands, Kevin Hagen, Framces Bergen, Charlene James, Joan Taylor, Charles Bronson, Margaret Hayes, Kelly Thordsen, Particia Blair",,1959,13+,1,"Action, Western","Yancy Derringer, an ex-Confederate soldier turned gambler, was a suave lady's man in New Orleans, Louisiana. In reality, he was working for John Colton, the civil administrator of the city. Yancy's job was to prevent crime and if necessary, arrest the culprits. His constant companion was Pahoo-Ka-Ta-Wah a Native American who watches Yancy's back.",amazon
Xploration Earth 2050,s58,TV Show,Sin Dato,Chuck Pell,,2017,ALL,2,"Documentary, Science Fiction","What will the world look like in 2050? Where will advancements in science, technology, engineering, and math lead us? Host Chuck Pell takes viewers on a mind bending journey in search of these answers.",amazon
Xiaolin Chronicles,s59,TV Show,Sin Dato,"Tara Strong, Jennifer Hale, Eric Bauza, David Kaye, Michael Donovan, Cree Summer",,2015,7+,1,"Adventure, Animation, Kids","Newcomer Ping Pong joins the legendary Xiaolin Monks: Omi, Kimiko, Raimundo, and Clay for fantastical new adventures! Leading the dark forces is Heylin Dragon Chase, who vows to revenge against Xiaolin. Throwing a monkey's wrench into the mix is supervillain wannabe Jack Spicer. Under the tutelage of an evil witch, Jack and his robot army are gunning for the Shen Gong Wu for world domination.",amazon
WWII in HD,s62,TV Show,Sin Dato,"Gary Sinise, Charles Scheffel",United States,2009,TV-14,1,Action,"The only people to see the war like this were the ones who fought it. Until now...70+ years in the making. The first documentary to show World War II from the perspective of both sides in full, immersive HD color, WWII in HD uses the diaries of soldiers who fought in the war's biggest battles to create a personal, introspective and detailed look at life on and off the front lines.",amazon
WPC 56,s64,TV Show,Sin Dato,"WPC Annie Taylor, Charles De'Ath, Olly Rix, James Barriscale, Rachel Leskovac, Liam Jeavons, Mark Healy",,2015,13+,3,"Drama, Romance, Suspense","The third series of WPC 56 follows WPC Annie Taylor, one of the first female police constables to serve in England's West Midlands in 1956.",amazon
Would I Lie to You?,s65,TV Show,Sin Dato,"David Mitchell, Lee Mack, Rob Brydon",,2009,TV-PG,1,"Comedy, Special Interest, Unscripted","On the third season of 'Would I Lie to You?' there is a new host, Rob Brydon, who joins regular team captains David Mitchell and Lee Mack David Mitchell. Together, they have to work out whether their celebrity guests are telling true stories from their weird and wonderful lives, or spinning a tall tale based on a lie given to them by the production team.",amazon
Wotakoi: Love is Hard for Otaku,s66,TV Show,Sin Dato,"Arisa Date, Kent Ito, Miyuki Sawashiro, Tomokazu Sugita, Yuki Kaji",,2018,TV-NR,1,TV Shows,"When Narumi, an office lady who hides the fact that she is a yaoi fangirl, changes jobs, she is reunited with Hirotaka, her childhood friend who is attractive and skilled but is a hardcore gaming otaku. They decide to start dating for now, but being otaku, both of them are awkward so a serious romantic relationship is rather difficult for them...",amazon
World’s Toughest Race: Eco-Challenge Fiji,s67,TV Show,Sin Dato,Bear Grylls,United States,2020,13+,1,Unscripted,"66 teams descend upon Fiji to compete in the most epic global adventure race ever attempted. Bear Grylls hosts this 11-day expedition that pushes competitors to their physical and emotional limits. For the veteran teams the goal is to win – but for most, the dream is to finish and prove to themselves and the world, that they can prevail in the World’s Toughest Race.",amazon
World War II: When Lions Roared,s68,TV Show,Sin Dato,"Michael Caine, John Lithgow, Bob Hoskins",,1994,TV-14,1,Drama,"At the Tehran and Yalta Conferences, the strong personalities of three of the world's most powerful leaders threaten their fragile alliance. This riveting historical drama portrays the precarious relationship between Franklin D. Roosevelt, Winston Churchill and Joseph Stalin at the pivotal moments when the final strategies of the war hung in the balance.",amazon
World War 2 - The Call of Duty: A Complete Timeline,s70,TV Show,Sin Dato,Liam Dale,,2020,13+,1,"Documentary, Military and War","Track the main events of World War II with the help of remarkable archive footage and see exactly what happened, and when. Learn about Pearl Harbor, The Battle of Britain, D-Day, the dropping of the atomic bomb and more. From the early battles right through to the complexities of the endgame, this extensive 24 episode series shines a spotlight on a period of history that should never be forgotten.",amazon
